Name,Pricing,Categories,Ratings,Latest Release,Tool Intro Information,Highlights,Description,Requirements,Support,Additional Information,About Company,Website,Email,Address
Salesforce Adoption Dashboards,Free,Admin & Developer Tools,-495,12/2/2020,"Provides visibility to relevant user login history & key feature adoption!
 Great user adoption doesn’t just happen!   The Salesforce Adoption Dashboards provide visibility to relevant user login history & trending, adoption of key features such as accounts & opportunities, and critical sales and marketing productivity enhancers.","Relevant user login history and trending

Adoption of key Salesforce.com features

Adoption of critical sales and marketing productivity enhancers","This Package includes 42 reports, 6 custom fields, 3 Dashboards, 1 Dashboard Folder and 1 Report Folder that focus on identifying whether users are regularly logging in and using key features in Salesforce. Downloading this app creates a ""Salesforce Adoption Dashboards” Dashboard folder and a “DB – Adoption” Report folder with their associated reports and dashboards.  ####This package can be leveraged with other AppExchange Adoption Dashboard packages and can also be customized to track the specific metrics that are important to your organization.  Either way, it’s a great starting point for kicking your companies’ adoption into high gear.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements",,"Package Name
Salesforce Adoption Dashboards
Version
1.0 / 1.0.0
Listed On
10/26/2011
Latest Release
12/3/2020
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
"AppExchange Dashboard Pack for Sales, Marketing and Service",Free,Admin & Developer Tools,-35,3/15/2009,"Great dashboard pack to get you started.
 Consolidated Lab dashboards for one Installation of Sales, Marketing, and Support.","Install all the free Labs Dashboards with one click

Instant Visibility into EVERYTHING in your Salesforce Account

EASY!","All the Free Dashboards Consolidated for a one-time install. Sales, Marketing, Support, Adoption, Usage and more.....total of 7 categories of dashboards.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements",,"Package Name
AppX Dashboard Pak
Version
1 / 1.0
Listed On
9/4/2007
Latest Release
3/16/2009
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
Salesforce for Slack - Unlock collaboration across sales and service,Free,Productivity,-30,8/13/2021,"Collaborate across sales and service teams with the new Slack app!
 Support for custom objects across Sales Cloud and Service Cloud, in both Classic and Lightning experiences.","1. Stay in the know####Customize your public or private channels to notify you or your team about new and updated records, like when an opportunity changes stage or a new lead is created.

2. Keep everyone on track####Use ""/salesforce [search terms]"" to find and preview all standard and custom Salesforce objects, all without leaving Slack.

3. Extend collaboration across sales and service####Easily send Salesforce records directly to Slack channels, and link key customer interactions and internal conversations with related Salesforce records.","Please note that this app requires access to the Salesforce API. If you use Salesforce Professional, you need the API Access add-on to use Slack and Salesforce together. To take full advantage of the Slack integration, install the companion Slack app. Learn more at https://slack.com/app-pages/salesforce####Known Issue:####Some users have reported issues in using this package in their partner business org with LMA. This is under investigation. Till the analysis is completed,  we recommend not to install this package for partner business orgs with LMA installed.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
No additional system requirements","Ëmail
feedback@slack.com
Knowledge Base
https://slack.com/help/articles/227838227","Package Name
Slack
Version
Slack / 1.88.0
Listed On
10/16/2019
Latest Release
8/13/2021
Languages
English","Slack is the collaboration hub that brings the right people, information, and tools together to get work done. From Fortune 100 companies to corner markets, millions of people around the world use Slack to connect their teams, unify their systems, and drive their business forward.####Slack is where work happens.",https://www.slack.com,feedback@slack.com,"San Francisco, CA"
Trail Tracker - by Trailhead,Free,Dashboards & Reports,-257,9/9/2021,"The fun way to empower your employees to learn Salesforce.
 Install this free app to guide your employees through their Salesforce learning adventure on Trailhead. Assign, track, and report on badges earned by your team via pre-built reports and dashboards to take your Salesforce game to the next level.","Automatically sync Trailhead activity (in progress and completed badges) for your employees into your Salesforce org on a daily basis.

Personalize your onboarding and training programs by assigning relevant Trailhead badges to your employees.

Use pre-built reports and dashboards to track badges earned by individual users and teams.","Do you use Trailhead, the fun way to learn Salesforce, to onboard, skill up, and assess the Salesforce knowledge of your employees? With Trail Tracker, you can easily guide your employees through Trailhead by assigning badges and building reports and dashboards to map out their learning adventure. Grow and retain top Salesforce talent by fostering a culture of learning at your company—and maybe even drive some healthy competition to dial up the fun?####WHAT’S INSIDE?##Trail Tracker is a managed package of custom objects and pre-built reports and dashboards, including:  ####- Badges: an inventory of all badges available on Trailhead, including useful metadata such as role, level, etc####- User Badges: the record of badge activity (assigned, in progress, and completed) for a specific user in your org####- Reports: out-of-the-box reports including Most Popular Badges, Most Active Users, Total Badges Assigned, etc####- Dashboard: an at-a-glance overview that visualizes key metrics with charts and graphs####Important: Employees must log into Trailhead with their production org user credentials for their data to be synced to your org.  See Installation Guide and FAQ for details.","Salesforce Edition
Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
No additional system requirements","Knowledge Base
https://trailhead.salesforce.com/help","Package Name
Trail Tracker
Version
3.7 / 3.7.0
Listed On
5/9/2017
Latest Release
9/9/2021
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
DocuSign eSignature for Salesforce: The trusted eSignature solution,Starting at $30 USD per user per month,Customer Service,-4614,7/8/2021,"Close deals faster in Salesforce with DocuSign eSignature for Salesforce
 Send, sign, track and save agreements in Salesforce with the most downloaded electronic signature app on the AppExchange. ####Get started with a free 30-day trial by clicking “Get It Now”","Create, send standard agreements for signature, trigger actions and track status from the Opportunity or Account. And, automatically store agreements on the original record with our Lightning Ready integration that works across the Customer 360 platform.

Elevate the customer signing experience and accelerate business cycles with an intuitive signing experience anytime, anywhere, from practically any device.

DocuSign is the market leader in electronic signatures, with over 700,000 customers and hundreds of millions of signers. Salesforce is also DocuSign customer, and uses our technology across Sales, HR, Purchasing/Procurement, and other departments.","• Maximize your Salesforce investment and streamline your processes with the world’s most trusted eSignature solution for the world’s #1 CRM. ####• Send agreements for signatures: Send agreements directly to Salesforce contacts or specify email addresses. Include messages, reminders, and authentication options.####• Create agreements with Salesforce data: Create agreements with DocuSign templates that pull in any Salesforce data saved on that record with merge fields.####• Responsive signing: Signers on mobile phones can access a parallel version of the document that automatically adapts its formatting to the device’s size and orientation.####• Salesforce data writeback: Signed documents and signer-provided data is automatically written back to Salesforce.####• Clicks-not-code configuration: Our modern UI ensures that your team can deploy quickly without complex integrations across Sales, Service, Financial Services, Experience, and Government Cloud.####• DocuSign eSignature meets compliance standards - including ISO 27001-certified, HIPAA, 21 CFR Part 11, Sarbanes-Oxley and FedRAMP - and provides SOC-audited data center and full encryption for all archived documents.","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
(Professional, Enterprise, Unlimited, Developer Edition). Easy set up allows you to start sending documents for electronic signature (eSignature) from Salesforce in minutes, activate all users in one step... get started with a 30-day free trial.","866.219.4318
Knowledge Base
https://support.docusign.com","Package Name
DocuSign Apps Launcher
Version
3.3.1 / 3.3.1
Listed On
3/7/2010
Latest Release
7/8/2021
Languages
Dutch,English,French,German,Italian,Japanese,Korean,Portuguese,Russian,Simplified Chinese,Spanish,Traditional Chinese","Automate and connect the entire agreement process with DocuSign. ##DocuSign helps organizations connect and automate how they prepare, sign, act on, and manage agreements. As part of the DocuSign Agreement Cloud, DocuSign offers eSignature: the world’s #1 way to sign electronically on practically any device, from almost anywhere, at any time*. Today, more than 500,000 customers and hundreds of millions of users in over 180 countries use DocuSign to accelerate the process of doing business and to simplify people's lives. ####More than electronic signature. ##We pioneered eSignature and now we’ve created the world’s first agreement cloud. The DocuSign Agreement Cloud is a comprehensive set of more than a dozen applications and 350 integrations for connecting and automating the entire agreement process. With DocuSign, organizations can do business faster with less risk, lower costs, and better experiences for customers, partners, and employees.",https://www.docusign.com/solutions/salesforce,getdfs@docusign.com,"San Francisco, CA, USA"
Conga Composer | Document Generation & Reporting for Salesforce Made Easy,Starting at $20 USD per user per month,Document Generation,-841,7/7/2021,"Proposals, quotes, doc gen, account plans, contracts, invoices, QBRs & more
 Create, track and manage on-brand documents automatically. Conga automates tedious business processes and provides actionable insights, so you can focus on driving revenue.####Click ""Get It Now"" for a free 30-day trial, or to update or install Composer!","ACCELERATE YOUR BUSINESS##Get up and running quickly with Composer to reduce document delivery time. Gain additional insights with notifications and document history that increase visibility, speeding up team velocity, processes, and business cycles.

AUTOMATE FOR CONSISTENCY##Automate document creation to eliminate manual tasks using workflows that initiate and complete customer engagements based on any added logic. Standardize what you send to ensure you land on-brand, every time.

FLEXIBLE TO FIT ANY SOLUTION##Pull data from across Salesforce objects, orgs, and external systems - like ERP, Marketing, and HR. This creates customized, personalized, and on time reports and documents with delivery-ease for every scenario.","With Conga Composer, easily create beautiful, accurate digital documents using pre-built or customized templates automatically populated with data from Salesforce. Send consistent and personalized documents that elevate your brand and delight your customers.####Generate any document:##✔ Quotes##✔ Proposals##✔ Account plans##✔ Invoices/receipts##✔ Contracts##✔ Work orders##✔ Reports & charts##✔ Shipping documents##✔ And more!####Into the following formats:##✔ Word##✔ Excel##✔ PowerPoint##✔ PDF##✔ HTML email####Extend efficiency with:##✔ Conga Batch: Create and send documents as a batch on a custom schedule##✔ Conga Trigger: Create documents with no clicks using customizable triggers####Integrations:##✔ Conga Contracts for Salesforce##✔ Conga Grid##✔ Conga Orchestrate##✔ Conga Sign######Compatible with Sales Cloud, Service Cloud, Communities, Portals, Platform, Salesforce1 & Lightning","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance
Other System Requirements
Supports: ##- Office 2016 (Mac 2016) & earlier##- Adobe Acrobat XI & earlier##- Salesforce Clouds: Sales, Service, App, Health, Manufacturing,  Financial Services ##- Salesforce Quote-to-Cash##- Chrome, Firefox, Safari, Microsoft Edge, and IE (v. 11+)","+1 (303) 465-1616, Int'l: see website
Ëmail
support@conga.com
Knowledge Base
http://support.conga.com/","Package Name
Conga Composer
Version
Wilson Peak / 8.200.0
Listed On
11/10/2009
Latest Release
7/7/2021
Languages
Dutch,English,Finnish,French,German,Danish,Italian,Japanese,Korean,Portuguese,Russian,Simplified Chinese,Spanish,Swedish,Thai,Traditional Chinese","Conga is the world's leading application suite for businesses who are transforming theircommercial operations on Salesforce, digitizing the documents and automating the processes around pricing, quoting, selling, servicing and contracting to accelerate revenue and create a better customer experience.​  As the provider of the #1 paid application on the Salesforce AppExchange, we have more than 15 years of experience increasing the value of Salesforce Clouds.  We're a Salesforce Premier ISV Partner with industry recognized products and support.  Conga provides time & cost saving solutions for more than 12,000 customers, across all industries, around the world.  Conga maintains three global support teams to ensure timely customer service and support for our products:  #Americas: (866) 502-3334 toll free | +1 (303) 465-1616  #EMEA: +44 (0) 203 608 0165  #APAC: +61 2 8417 2399",http://www.conga.com,spt@conga.com,"San Mateo, CA  USA"
In-App Guidance: Boost Sales User Productivity in Lightning Experience,Free,Admin & Developer Tools,-7,10/15/2019,"Install prompts to increase user adoption of five key Salesforce features.
 Salesforce asked the Trailblazer Community for a wishlist of In-App Guidance prompts to drive adoption of time-saving features in Lightning Experience. We used the generally available In-App Guidance feature, to create this package of five prompts.","Introduce your users to favorites, list views, the Chatter profile, Help Menu, and how to find their recent items.

Five prompts for the Account (Sales app) home each link to helpful resources.

Edit the prompts to change the Permission or Schedule settings.","In Winter ‘20 Salesforce made In-App Guidance generally available. This package uses that feature to create a prompt package. Kick-start your own Lighting Experience adoption user engagement journey with prompts that gently suggest that users try out features key to working smarter in Lightning Experience. ####As users begin to explore their new workspace, they want actionable, relevant information about productivity-boosting features. What better way to deliver that information than inside the app while they work. ####Install the prompts to use as is, or adjust the Permission and Schedule settings for your org’s Lightning Experience rollout strategy. Prompts are active as soon as you install them. You can’t change the prompt location. But you can use our prompts as a starting point to creating your own on different pages and apps.####Have feedback or ideas for prompts that you’d like to see in future packages? Take the conversation to the * Lightning Now! * group on the Trailblazer Community and use the tag #lightninginappguidance.","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
An admin must have Modify All Data or Customize Application permission to manage prompts.##Non-admin users must have the Manage Prompts AND Modify Metadata permissions to manage prompts.##Not Available for: Chatter External and Chatter Free user licenses",,"Package Name
In-App Guidance: Boost Sales User Productivity in Lightning Experience
Version
Winter '20 / 1.1.0
Listed On
10/29/2019
Latest Release
10/15/2019
Languages
English","Salesforce Labs is a program that lets salesforce.com engineers, professional services staff & other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,"San Francisco, CA, USA"
LinkedIn Sales Navigator for Salesforce,Starting at $103.33 USD per user per month,Sales Intelligence,0,7/1/2021,"Harness the power of LinkedIn Sales Navigator with Salesforce
 Embed LinkedIn profiles within CRM to provide timely insights on buyers and companies. Requires SALES NAV TEAM or ENTERPRISE EDITION.####Complete Data Validation setup to flag out-of-date contacts. Requires SALES NAV ENTERPRISE EDITION & CRM Sync.","JUNE 2021 APP RELAUNCH - VERSION 3.3##Focused on major redesign of core functionality:##-- Removed Custom Task Record Types##-- Added Data Validation Job Scheduler##-- Rebuilt Guided Setup Experience##-- Sunset non-essential components (when possible)

CONTACT SUPPORT:##For support issues, please visit https://www.linkedin.com/help/sales-navigator/####Please Note: Our application does NOT support SALES NAVIGATOR PROFESSIONAL EDITION. Data Validation is SALES NAVIGATOR ENTERPRISE EDITION ONLY.","ELEVATE YOUR SALESFORCE EXPERIENCE WITH LINKEDIN DATA, INSIGHTS, AND ACTIONS##Without leaving their CRM, sales professionals can leverage Embedded Profiles to search for and view key insights on buyers, stay updated on relevant news and activities, find warm introductions via TeamLink, see recommended leads, and send InMails directly to contacts. Within Lightning, admins are able to customize the interface and create a more immersive experience to fit their team’s needs. Available for both Lightning and Classic. Requires Sales Navigator Team or Enterprise Edition.####KEEP YOUR CRM DATA UP-TO-DATE##Sales managers and professionals can keep CRM data up-to-date automatically by leveraging LinkedIn Data Validation. Pinpoint which contacts are associated with incorrect accounts, and use out-of-the-box reports to understand opportunities at risk (e.g. open opportunities where an associated contact is no longer with that company) as well as potential champions via past customers at new companies (e.g. contacts at closed-won opportunities who are now associated with a new company). Requires Sales Navigator Enterprise Edition and for CRM Sync to be enabled within Sales Navigator.","Salesforce Edition
Professional, Enterprise, Unlimited, Developer, Performance
Other System Requirements
REQUIRES SALES NAVIGATOR TEAM or SALES NAVIGATOR ENTERPRISE","Knowledge Base
https://www.linkedin.com/help/sales-navigator/","Package Name
SN for SFDC
Version
v3.3 / 3.3.0
Listed On
6/23/2021
Latest Release
7/1/2021
Languages
English,French,German,Italian,Portuguese,Spanish",,http://www.linkedin.com/,,"Mountain View, CA"
Query Studio for Marketing Cloud,Free,Marketing,-32,,"Write and run queries in the Marketing Cloud
 Query studio allows you to quickly run queries in the Marketing Cloud with a similar experience to SQL Server Studio or MySQL workbench.",,"Query studio allows you to quickly run queries in the Marketing Cloud with a similar experience to SQL Server Studio or MySQL workbench. ####Features: ####Great for one off queries and developing new queries. Write -> Run -> See Result, without leaving the page. ####Users have the option of validating their query against a target data extension. This will cross check for required fields, field lengths, and mismatched field data types. ####CTRL + Enter shortcut to run. ####Considerations:####- "" Select * "" or "" Select table.* "" queries are not supported.##- QueryStudioResults data extension folder will be created in your account to hold temporary data extensions.  These data extensions have data retention set to auto delete after 24 hours. ##- Every Query Studio user will also have a query activity created for them and is used for running one off queries. It will contain 'InteractiveQuery' in the name.","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
No additional system requirements",,,"Salesforce Labs is a program that lets salesforce.com engineers, professional services staff and other employees share AppExchange apps they've created with the customer community.  Inspired by employees' work with customers of all sizes and industries, these apps range from simple utilities to entire vertical solutions.  Salesforce Labs apps are free to use, but are not official salesforce.com products, and should be considered community projects - these apps are not officially tested or documented.  For help on any Salesforce Labs app please consult the Salesforce message boards - salesforce.com support is not available for these applications. Questions? Please visit https://success.salesforce.com/answers.",https://appexchange.salesforce.com/collection/SalesforceLabs,,
"Rollup Helper - The Trusted, Scalable, Roll-Up Engine for Salesforce",Free,Analytics,-417,6/22/2021,"Roll up any information in Salesforce with clicks and not code.
 With Rollup Helper, you can roll-up any Salesforce® data: Count, sum, max, min, average, percent, lookups, text, formula, and multi-currency roll-ups. Roll-up more data!####Rollup Helper Premium Edition is available standalone or as part of Helper Suite.","Actionable, real-time data for your business process.##-Results can be used in workflow rules, validation rules or formula fields.##-Rollup using a master-detail or lookup relationship including custom objects.##-Rollup all data types to all field types.

Super-charge your org with capabilities that normally require coding.##-Rollup millions of records in Salesforce.##-Rollup Helper will scale with your unique environments.##-Create custom filters using dynamic filter criteria without SOQL knowledge.

Build mission critical reports and trigger intelligent data-driven workflows.##-With cross object rollups and custom filters, rollup data to a centralized object to boost reporting capability.","Top Rollup Helper Use Cases:##-Activity Monitoring Rollups##-Targeted/parent filter functionality##-Asset, Case, and Contact Rollups to Account##-Lookup Rollups##-Account or Multiple Object Hierarchy Rollups##-Rollup through Campaign Member or Contact Role##-Customer Segmentation Criteria Rollups##-Rollups to Aid in Account-Based Marketing Strategy Implementation##-Non-Numeric/Text Rollups for Products Purchased, Campaign Names or Call Notes##-First and Last Rollups##-Custom Object Rollups##-Rollups for Monthly or Year-Over-Year Reporting####Free Edition Features:##-Three rollups##-Real-time and scheduled rollup functionality##-Sum, max, min, average, count rollups##-Checkbox and text rollups##-Create custom filters without SOQL##-Thirty pre-canned date filters##-Support for standard and custom objects##-Advanced currency management##-Seamless integration with existing configurations##-100% Salesforce® native##-Support for Salesforce® LEX (Lightning Experience) User Interface##-Access to our excellent support staff","Salesforce Edition
Professional, Enterprise, Unlimited, Force.com, Developer, Performance, Essentials
Other System Requirements
No additional system requirements","Ëmail
support@passagetech.com
Knowledge Base
https://success.salesforce.com/_ui/core/chatter/groups/GroupProfilePage?g=0F9300000009QWe","Package Name
Rollup Helper
Version
Rollup Helper v16.5 / 16.5.0
Listed On
6/13/2012
Latest Release
6/22/2021
Languages
English","Since 2008, Passage Technology has been the trusted provider of easy-to-use native Salesforce apps and high-quality development services, empowering over 27,000 customers with administration and project management tools, as well as custom business solutions. Milestones PM+ and Rollup Helper as our top products, our apps are Lookup Helper and Storage Helper of Helper Suite and, most recently, Data Analysis Helper and Prioritization Helper.####Passage Technology is a registered Salesforce Consulting Partner, an original AppExchange Partner, and an Inc. 5000 company headquartered in Lake Forest, Illinois.",https://www.passagetechnology.com,sales@passagetech.com,"Lake Forest, Illinois, United States"
